Date,Change in SWAV
2017-01-03,
2017-01-04,-0.0009326063398072959
2017-01-05,0.007397815997089552
2017-01-06,0.024226682175037095
2017-01-09,-0.008274874416184574
2017-01-10,0.0004722345637113712
2017-01-11,-0.0017153648417265188
2017-01-12,0.004466659524754113
2017-01-13,-0.0041046694132054196
2017-01-16,-0.019171894148117374
2017-01-17,0.004039031493381029
2017-01-18,-0.000698656841106482
2017-01-19,0.004434221546015471
2017-01-20,0.019520128434868944
2017-01-23,-0.017651455554098194
2017-01-24,-0.003566936527051534
2017-01-25,-0.00017471115705858242
2017-01-26,0.008597023118490088
2017-01-27,0.009559636302522878
2017-01-30,-0.016497605109743962
2017-01-31,-0.0018367101538802055
2017-02-01,0.0026316855749805024
2017-02-02,0.010443661385683534
2017-02-03,0.0036204062047602292
2017-02-06,-0.01912399504070139
2017-02-07,0.004668940303412028
2017-02-08,-0.004083657445139499
2017-02-09,-0.0013992300956636727
2017-02-10,0.014598101673319985
2017-02-13,-0.009478271032515417
2017-02-14,-0.02707798302583503
2017-02-15,0.020532314649584327
2017-02-16,0.022078836391182466
2017-02-17,-0.013198001736215215
2017-02-20,-0.01130429036135372
2017-02-21,-0.001040119619649782
2017-02-22,0.003693850989619607
2017-02-23,0.005639828064008867
2017-02-24,-0.001714661815312879
2017-02-27,-0.008212446579602739
2017-02-28,4.561841006323064e-05
2017-03-01,-0.0021801134487147156
2017-03-02,0.02089805355240193
2017-03-03,0.015643366638052658
2017-03-06,-0.007131850253583205
2017-03-07,0.0014452796806752044
2017-03-08,-0.00242572343651859
2017-03-09,0.012203546896622286
2017-03-10,-0.005486599304998396
2017-03-13,-0.006246172057200683
2017-03-14,-0.0006393358081224765
2017-03-15,0.0014589710701677916
2017-03-16,0.0012605027815457692
2017-03-17,0.002778498647300953
2017-03-20,-0.06112628621451133
2017-03-21,0.004348471142492871
2017-03-22,0.0035020672348422544
2017-03-23,0.006834454307637128
2017-03-24,0.006809509206146536
2017-03-27,-0.004618637498609801
2017-03-28,0.004056262472976524
2017-03-29,0.0022059897955136742
2017-03-30,0.004517578231543529
2017-03-31,0.007555530953548439
2017-04-03,-0.013178200290063002
2017-04-04,0.0022613242053026728
2017-04-05,0.0010854704217875266
2017-04-06,0.0011348076734079005
2017-04-07,-0.010194963193152162
2017-04-10,0.0003947538660423744
2017-04-11,0.0037126108775503708
2017-04-12,0.0012666528360650853
2017-04-13,0.02333864482341974
2017-04-18,-0.021044676272436225
2017-04-19,0.0036680603987121474
2017-04-20,0.008307409754000461
2017-04-21,0.002391815816879639
2017-04-24,-0.005054297501511318
2017-04-25,0.005767073661683275
2017-04-26,0.0033274136955498967
2017-04-27,-6.089909000972504e-05
2017-04-28,-0.0026288453582505866
2017-05-02,0.016325219358665266
2017-05-03,0.004288256778887001
2017-05-04,0.007269488305089888
2017-05-05,0.004871086071968511
2017-05-08,-0.005053860989743697
2017-05-09,0.00619467595748846
2017-05-10,0.0016583902919748983
2017-05-11,0.002187557766406112
2017-05-12,-0.0025313086733022017
2017-05-15,-0.003631144779618123
2017-05-16,0.00805803395434801
2017-05-17,0.00234876800519912
2017-05-18,0.0041108854165811115
2017-05-19,-0.0026819649715048577
2017-05-22,-0.004960576552591078
2017-05-23,0.0009769117797284732
2017-05-24,0.0033815783349867568
2017-05-25,0.0204398591505891
2017-05-26,-0.002653621900346792
2017-05-30,-0.01334995077894452
2017-05-31,0.0067656595945881914
2017-06-01,-0.003032346931429064
2017-06-02,-0.004004208319411506
2017-06-05,-0.030756852930519107
2017-06-06,0.007436609026292396
2017-06-07,0.008599894964178012
2017-06-08,0.00623875113179484
2017-06-09,0.005373990932456718
2017-06-12,-0.008372725453346108
2017-06-13,0.005080295790912515
2017-06-14,0.0073762463305626635
2017-06-15,0.008524131788925526
2017-06-16,-0.0022359500725505077
2017-06-19,-0.005911896962133456
2017-06-20,0.0037242224278917213
2017-06-21,-0.0021280858943150127
2017-06-22,-0.0016974136255949457
2017-06-23,0.0020149112645407863
2017-06-26,-0.009563905355402635
2017-06-27,-0.0001737548327658267
2017-06-28,4.8081469539607014e-05
2017-06-29,3.7594106149896334e-05
2017-06-30,0.014024808477796302
2017-07-03,-0.010183329588515866
2017-07-04,0.006303812110683649
2017-07-05,-6.42863086871559e-05
2017-07-06,0.0008322544567812562
2017-07-07,0.008533416614434852
2017-07-10,-0.01360848933716352
2017-07-11,-0.00068091043748153
2017-07-12,0.0026388350007455763
2017-07-13,0.0015080442048365228
2017-07-14,-0.003878734402337214
2017-07-17,-0.003461209242530794
2017-07-18,0.004354635895159609
2017-07-19,-0.002958250907702298
2017-07-20,0.009210526352992354
2017-07-21,-0.02663847693680188
2017-07-24,0.004728514483789303
2017-07-25,0.006422254232700042
2017-07-26,-0.0029046472159742764
2017-07-27,0.009960208696370043
2017-07-28,0.0038394727415618224
2017-07-31,-0.006965311635174443
2017-08-01,0.0025504471503011716
2017-08-02,-0.0007102568400840781
2017-08-03,0.00796584930960409
2017-08-04,0.0014999107739114281
2017-08-07,-0.013416168266030315
2017-08-08,0.0031246534277745708
2017-08-09,6.0877572552686665e-05
2017-08-10,-0.0007858114222535351
2017-08-11,0.003246023136826204
2017-08-14,-0.014371790733431644
2017-08-15,0.005848496238991863
2017-08-16,-0.004521166392885467
2017-08-17,0.010966805299464144
2017-08-18,0.00048455386138890333
2017-08-21,-0.013440957993756109
2017-08-22,0.0013391527276186421
2017-08-23,-0.00227357994638544
2017-08-24,0.007091274339605214
2017-08-25,-0.003413608923954703
2017-08-29,-0.006199661405303147
