Date,% FTSE100 Change,Previous Day % FTSE100 Change
2022-11-24,0.02,0.17
2022-11-25,0.27,0.02
2022-11-30,0.81,0.51
2022-12-01,-0.19,0.81
2022-12-02,-0.03,-0.19
2022-12-07,-0.43,-0.61
2022-12-08,-0.23,-0.43
2022-12-09,0.06,-0.23
2022-12-14,-0.09,0.76
2022-12-15,-0.93,-0.09
2022-12-16,-1.27,-0.93
2022-12-21,1.72,0.13
2022-12-22,-0.37,1.72
2022-12-23,0.05,-0.37
2022-12-30,-0.81,0.21
2023-01-05,0.64,0.41
2023-01-06,0.87,0.64
2023-01-11,0.4,-0.39
2023-01-12,0.89,0.4
2023-01-13,0.64,0.89
2023-01-18,-0.26,-0.12
2023-01-19,-1.07,-0.26
2023-01-20,0.3,-1.07
2023-01-25,-0.16,-0.35
2023-01-26,0.21,-0.16
2023-01-27,0.05,0.21
2023-02-01,-0.14,-0.17
2023-02-02,0.76,-0.14
2023-02-03,1.04,0.76
2023-02-08,0.26,0.36
2023-02-09,0.33,0.26
2023-02-10,-0.36,0.33
2023-02-15,0.55,0.08
2023-02-16,0.18,0.55
2023-02-17,-0.1,0.18
2023-02-22,-0.59,-0.46
2023-02-23,-0.29,-0.59
2023-02-24,-0.37,-0.29
2023-03-01,0.49,-0.74
2023-03-02,0.37,0.49
2023-03-03,0.04,0.37
2023-03-08,0.13,-0.13
2023-03-09,-0.63,0.13
2023-03-10,-1.67,-0.63
2023-03-15,-3.83,1.17
2023-03-16,0.89,-3.83
2023-03-17,-1.01,0.89
2023-03-22,0.41,1.79
2023-03-23,-0.89,0.41
2023-03-24,-1.26,-0.89
2023-03-29,1.07,0.17
2023-03-30,0.74,1.07
2023-03-31,0.15,0.74
2023-04-05,0.37,-0.5
2023-04-06,1.03,0.37
2023-04-13,0.24,0.5
2023-04-14,0.36,0.24
2023-04-19,-0.13,0.38
2023-04-20,0.05,-0.13
2023-04-21,0.15,0.05
2023-04-26,-0.49,-0.27
2023-04-27,-0.27,-0.49
2023-04-28,0.5,-0.27
2023-05-04,-1.1,0.2
2023-05-05,0.98,-1.1
2023-05-11,-0.14,-0.29
2023-05-12,0.31,-0.14
2023-05-17,-0.36,-0.34
2023-05-18,0.25,-0.36
2023-05-19,0.19,0.25
2023-05-24,-1.75,-0.1
2023-05-25,-0.74,-1.75
2023-05-26,0.74,-0.74
2023-06-01,0.59,-1.01
2023-06-02,1.56,0.59
2023-06-07,-0.05,0.37
2023-06-08,-0.32,-0.05
2023-06-09,-0.49,-0.32
2023-06-14,0.1,0.32
2023-06-15,0.34,0.1
2023-06-16,0.19,0.34
2023-06-21,-0.13,-0.25
2023-06-22,-0.76,-0.13
2023-06-23,-0.54,-0.76
2023-06-28,0.52,0.11
2023-06-29,-0.38,0.52
2023-06-30,0.8,-0.38
2023-07-05,-1.03,-0.1
2023-07-06,-2.17,-1.03
2023-07-07,-0.32,-2.17
2023-07-12,1.83,0.12
2023-07-13,0.32,1.83
2023-07-14,-0.08,0.32
2023-07-19,1.8,0.64
2023-07-20,0.76,1.8
2023-07-21,0.23,0.76
2023-07-26,-0.19,0.17
2023-07-27,0.21,-0.19
2023-07-28,0.02,0.21
2023-08-02,-1.36,-0.43
2023-08-03,-0.43,-1.36
2023-08-04,0.47,-0.43
2023-08-09,0.8,-0.36
2023-08-10,0.41,0.8
2023-08-11,-1.24,0.41
2023-08-16,-0.44,-1.57
2023-08-17,-0.63,-0.44
2023-08-18,-0.65,-0.63
2023-08-23,0.68,0.18
2023-08-24,0.18,0.68
2023-08-25,0.07,0.18
2023-08-31,-0.46,0.12
2023-09-01,0.34,-0.46
2023-09-06,-0.16,-0.2
2023-09-07,0.21,-0.16
2023-09-08,0.49,0.21
2023-09-13,-0.02,0.41
2023-09-14,1.95,-0.02
2023-09-15,0.5,1.95
2023-09-20,0.93,0.09
2023-09-21,-0.69,0.93
2023-09-22,0.07,-0.69
2023-09-27,-0.43,0.02
2023-09-28,0.11,-0.43
2023-09-29,0.08,0.11
2023-10-04,-0.77,-0.54
2023-10-05,0.53,-0.77
2023-10-06,0.58,0.53
2023-10-11,-0.11,1.82
2023-10-12,0.32,-0.11
2023-10-13,-0.59,0.32
2023-10-18,-1.14,0.58
2023-10-19,-1.17,-1.14
2023-10-20,-1.3,-1.17
2023-10-25,0.33,0.2
2023-10-26,-0.81,0.33
2023-10-27,-0.86,-0.81
2023-11-01,0.28,-0.08
2023-11-02,1.42,0.28
2023-11-03,-0.39,1.42
2023-11-08,-0.11,-0.1
2023-11-09,0.73,-0.11
2023-11-10,-1.28,0.73
2023-11-15,0.62,0.2
2023-11-16,-1.01,0.62
2023-11-17,1.26,-1.01
2023-11-22,-0.17,-0.19
2023-11-23,0.19,-0.17
2023-11-24,0.06,0.19
2023-11-29,-0.43,-0.07
2023-11-30,0.41,-0.43
2023-12-01,1.01,0.41
2023-12-06,0.34,-0.31
2023-12-07,-0.02,0.34
2023-12-08,0.54,-0.02
2023-12-13,0.08,-0.03
2023-12-14,1.33,0.08
2023-12-15,-0.95,1.33
2023-12-20,1.02,0.31
2023-12-21,-0.27,1.02
2023-12-22,0.04,-0.27
2023-12-29,0.14,-0.03
