Date,EPU Change
2017-01-02,238.0999999999999
2017-01-03,-318.7099999999999
2017-01-04,143.19999999999993
2017-01-05,-42.19999999999993
2017-01-06,17.16999999999996
2017-01-07,-163.39
2017-01-08,-84.90000000000003
2017-01-09,18.620000000000005
2017-01-10,139.77000000000004
2017-01-11,-23.99000000000001
2017-01-12,-85.63
2017-01-13,8.0
2017-01-14,-25.110000000000014
2017-01-15,50.00999999999999
2017-01-16,171.64
2017-01-17,116.83000000000004
2017-01-18,-220.96000000000004
2017-01-19,-187.97999999999996
2017-01-20,163.26999999999992
2017-01-21,-306.92999999999995
2017-01-22,178.59000000000003
2017-01-23,-12.78000000000003
2017-01-24,-115.20999999999998
2017-01-25,188.84999999999997
2017-01-26,-171.45
2017-01-27,-72.10999999999999
2017-01-28,123.25999999999996
2017-01-29,-78.07
2017-01-30,54.85000000000002
2017-01-31,28.170000000000016
2017-02-01,95.32999999999998
2017-02-02,-166.45999999999998
2017-02-03,281.51
2017-02-04,-295.21000000000004
2017-02-05,228.65000000000003
2017-02-06,152.45
2017-02-07,-206.68
2017-02-08,-13.54000000000002
2017-02-09,-103.13999999999999
2017-02-10,101.43
2017-02-11,-167.18
2017-02-12,16.340000000000032
2017-02-13,114.40999999999997
2017-02-14,135.46000000000004
2017-02-15,119.24000000000001
2017-02-16,-279.52000000000004
2017-02-17,44.75
2017-02-18,250.41000000000003
2017-02-19,-446.05
2017-02-20,67.88
2017-02-21,135.48000000000002
2017-02-22,80.93
2017-02-23,-56.400000000000034
2017-02-24,-21.409999999999968
2017-02-25,-135.33000000000004
2017-02-26,-5.349999999999966
2017-02-27,155.20999999999998
2017-02-28,275.35999999999996
2017-03-01,-147.29999999999995
2017-03-02,37.210000000000036
2017-03-03,-353.98
2017-03-04,126.02000000000001
2017-03-05,35.27999999999997
2017-03-06,-13.17999999999995
2017-03-07,15.009999999999991
2017-03-08,165.16999999999996
2017-03-09,327.35
2017-03-10,-563.3199999999999
2017-03-11,-26.70999999999998
2017-03-12,-94.43000000000004
2017-03-13,370.75
2017-03-14,403.87
2017-03-15,-602.41
2017-03-16,11.439999999999998
2017-03-17,-64.57999999999998
2017-03-18,-66.93
2017-03-19,56.27999999999997
2017-03-20,-13.419999999999959
2017-03-21,-3.660000000000025
2017-03-22,310.89
2017-03-23,-86.80999999999995
2017-03-24,-226.72000000000003
2017-03-25,-75.78
2017-03-26,-48.670000000000016
2017-03-27,210.21
2017-03-28,-69.08999999999997
2017-03-29,90.47999999999996
2017-03-30,-232.30999999999997
2017-03-31,262.53
2017-04-01,-314.01
2017-04-02,692.97
2017-04-03,-298.7700000000001
2017-04-04,-208.88999999999993
2017-04-05,7.789999999999964
2017-04-06,-8.689999999999998
2017-04-07,-45.99000000000001
2017-04-08,-81.17999999999998
2017-04-09,165.08
2017-04-10,137.81
2017-04-11,-233.84000000000003
2017-04-12,27.629999999999995
2017-04-13,-14.439999999999998
2017-04-14,-101.76999999999998
2017-04-15,-0.020000000000010232
2017-04-16,150.26000000000002
2017-04-17,147.90999999999997
2017-04-18,-95.88999999999999
2017-04-19,156.91000000000003
2017-04-20,-257.95
2017-04-21,100.97999999999996
2017-04-22,-155.69
2017-04-23,56.629999999999995
2017-04-24,104.5
2017-04-25,-31.20999999999998
2017-04-26,31.100000000000023
2017-04-27,-117.27000000000004
2017-04-28,135.57
2017-04-29,-120.47999999999996
2017-04-30,-117.98000000000002
2017-05-01,64.13
2017-05-02,-71.22
2017-05-03,59.34
2017-05-04,3.6399999999999864
2017-05-05,185.62
2017-05-06,-288.78
2017-05-07,224.32999999999998
2017-05-08,98.95999999999998
2017-05-09,-218.49999999999997
2017-05-10,88.34
2017-05-11,208.3
2017-05-12,-153.15000000000003
2017-05-13,173.56
2017-05-14,-185.51999999999998
2017-05-15,21.310000000000002
2017-05-16,229.23999999999995
2017-05-17,1442.29
2017-05-18,-1484.06
2017-05-19,48.99000000000001
2017-05-20,-330.15
2017-05-21,-70.86000000000001
2017-05-22,264.13
2017-05-23,-50.39999999999998
2017-05-24,-175.21000000000004
2017-05-25,-3.0299999999999727
2017-05-26,-43.360000000000014
2017-05-27,-60.28999999999999
2017-05-28,50.870000000000005
2017-05-29,106.62999999999997
2017-05-30,102.46000000000004
2017-05-31,41.81999999999999
2017-06-01,127.81999999999994
2017-06-02,-125.57999999999993
2017-06-03,96.32999999999993
2017-06-04,-178.60999999999996
2017-06-05,97.48000000000002
2017-06-06,-97.37
2017-06-07,367.16
2017-06-08,-72.33000000000004
2017-06-09,103.15999999999997
2017-06-10,352.24
2017-06-11,-500.74
2017-06-12,211.6500000000001
2017-06-13,-171.69000000000005
2017-06-14,97.24000000000001
2017-06-15,-193.75
2017-06-16,-1.4500000000000455
2017-06-17,-103.04999999999995
2017-06-18,-81.48000000000002
2017-06-19,177.56000000000006
2017-06-20,133.3499999999999
2017-06-21,-108.13
2017-06-22,-0.16999999999995907
2017-06-23,296.33000000000004
2017-06-24,-369.85
2017-06-25,-189.43
2017-06-26,112.70999999999998
2017-06-27,42.870000000000005
2017-06-28,211.53999999999996
2017-06-29,-339.61999999999995
2017-06-30,466.09999999999997
2017-07-01,-66.66999999999996
2017-07-02,-445.5
2017-07-03,213.3
2017-07-04,-62.09000000000003
2017-07-05,-99.07
2017-07-06,19.279999999999973
2017-07-07,113.65000000000003
2017-07-08,45.06
2017-07-09,-160.94
2017-07-10,3.349999999999966
2017-07-11,-30.659999999999968
2017-07-12,315.38
2017-07-13,-373.0
2017-07-14,154.75
2017-07-15,-118.50999999999999
