Date,ADS Change
2017-01-02,-0.02227699999999999
2017-01-03,-0.021782999999999997
2017-01-04,-0.02129700000000001
2017-01-05,-0.020820000000000005
2017-01-06,-0.020348999999999978
2017-01-07,-0.019888000000000003
2017-01-08,-0.019434000000000007
2017-01-09,-0.0192706
2017-01-10,-0.0191148
2017-01-11,-0.0189664
2017-01-12,-0.018825399999999996
2017-01-13,-0.0186915
2017-01-14,-0.018564900000000002
2017-01-15,-0.018445399999999997
2017-01-16,-0.0176817
2017-01-17,-0.016924699999999994
2017-01-18,-0.016174200000000014
2017-01-19,-0.015430399999999997
2017-01-20,-0.014690999999999996
2017-01-21,-0.013960000000000014
2017-01-22,-0.013230999999999993
2017-01-23,-0.013360999999999984
2017-01-24,-0.013494000000000006
2017-01-25,-0.013633000000000006
2017-01-26,-0.01377600000000001
2017-01-27,-0.013925999999999994
2017-01-28,-0.014080999999999982
2017-01-29,-0.014241000000000004
2017-01-30,-0.014519000000000032
2017-01-31,-0.01479999999999998
2017-02-01,-0.015089999999999992
2017-02-02,-0.014342000000000021
2017-02-03,-0.013600000000000001
2017-02-04,-0.012863999999999987
2017-02-05,-0.012131999999999976
2017-02-06,-0.010801000000000005
2017-02-07,-0.00947300000000001
2017-02-08,-0.008149000000000017
2017-02-09,-0.006828000000000001
2017-02-10,-0.005509999999999959
2017-02-11,-0.004195000000000004
2017-02-12,-0.0028790000000000204
2017-02-13,-0.0015209999999999946
2017-02-14,-0.00016199999999999548
2017-02-15,0.0011959999999999749
2017-02-16,0.0025560000000000027
2017-02-17,0.003916000000000031
2017-02-18,0.005276999999999976
2017-02-19,0.006641000000000008
2017-02-20,0.007120000000000015
2017-02-21,0.007604
2017-02-22,0.008088999999999957
2017-02-23,0.008577000000000001
2017-02-24,0.009070000000000022
2017-02-25,0.00956499999999999
2017-02-26,0.010064000000000017
2017-02-27,0.011946000000000012
2017-02-28,0.013831999999999955
2017-03-01,0.015723000000000042
2017-03-02,0.01607900000000001
2017-03-03,0.016441999999999984
2017-03-04,0.01680899999999999
2017-03-05,0.017184000000000005
2017-03-06,0.016567
2017-03-07,0.015953999999999996
2017-03-08,0.015349000000000002
2017-03-09,0.014749999999999985
2017-03-10,0.014155000000000015
2017-03-11,0.013566999999999996
2017-03-12,0.012984300000000004
2017-03-13,0.013079099999999996
2017-03-14,0.013179399999999994
2017-03-15,0.013284700000000003
2017-03-16,0.013395200000000003
2017-03-17,0.0135109
2017-03-18,0.0136316
2017-03-19,0.01375779
2017-03-20,0.01363957
2017-03-21,0.013526639999999998
2017-03-22,0.013418900000000001
2017-03-23,0.013316399999999999
2017-03-24,0.013219000000000002
2017-03-25,0.013126700000000005
2017-03-26,0.013039399999999993
2017-03-27,0.012027400000000008
2017-03-28,0.01102099999999999
2017-03-29,0.010017999999999999
2017-03-30,0.009020000000000014
2017-03-31,0.008024000000000003
2017-04-01,0.007030999999999982
2017-04-02,0.005524000000000001
2017-04-03,0.005165000000000003
2017-04-04,0.004808000000000007
2017-04-05,0.0044510000000000105
2017-04-06,0.0040979999999999905
2017-04-07,0.0037459999999999993
2017-04-08,0.003395000000000009
2017-04-09,0.003045999999999993
2017-04-10,0.0028409999999999824
2017-04-11,0.0026380000000000015
2017-04-12,0.0024350000000000205
2017-04-13,0.002233999999999986
2017-04-14,0.002034000000000008
2017-04-15,0.0018340000000000023
2017-04-16,0.0016349999999999976
2017-04-17,0.001357999999999998
2017-04-18,0.0010830000000000006
2017-04-19,0.0008080000000000032
2017-04-20,0.0005330000000000057
2017-04-21,0.00025799999999998047
2017-04-22,-1.6999999999989246e-05
2017-04-23,-0.00029100000000001347
2017-04-24,-0.0011410000000000031
2017-04-25,-0.0019899999999999918
2017-04-26,-0.0028419999999999834
2017-04-27,-0.003693000000000002
2017-04-28,-0.004546000000000022
2017-04-29,-0.005400999999999989
2017-04-30,-0.006257999999999986
2017-05-01,-0.0068160000000000165
2017-05-02,-0.006769999999999998
2017-05-03,-0.006727000000000011
2017-05-04,-0.0066859999999999975
2017-05-05,-0.006648999999999988
2017-05-06,-0.006614000000000009
2017-05-07,-0.0065810000000000035
2017-05-08,-0.006555999999999992
2017-05-09,-0.006530999999999995
2017-05-10,-0.006511000000000003
2017-05-11,-0.006492999999999999
2017-05-12,-0.006476700000000002
2017-05-13,-0.006463299999999991
2017-05-14,-0.0064525
2017-05-15,-0.006403300000000001
2017-05-16,-0.006356700000000007
2017-05-17,-0.006312399999999996
2017-05-18,-0.006270700000000004
2017-05-19,-0.006231199999999999
2017-05-20,-0.0061943
2017-05-21,-0.0061598
2017-05-22,-0.005457900000000002
2017-05-23,-0.0047583999999999994
2017-05-24,-0.004060499999999998
2017-05-25,-0.0033642000000000012
2017-05-26,-0.002669399999999999
2017-05-27,-0.0019752999999999993
2017-05-28,-0.0012823000000000018
2017-05-29,-0.0014222999999999996
2017-05-30,-0.0015629000000000007
2017-05-31,-0.0017040499999999986
2017-06-01,-0.0018459800000000005
2017-06-02,-0.00199546
2017-06-03,-0.00214574
2017-06-04,-0.0022968199999999998
2017-06-05,-0.00263225
2017-06-06,-0.00296869
2017-06-07,-0.0033062800000000004
2017-06-08,-0.003645129999999999
2017-06-09,-0.0039854
2017-06-10,-0.0043272000000000015
2017-06-11,-0.0046707
2017-06-12,-0.004578599999999999
2017-06-13,-0.004488199999999998
2017-06-14,-0.0043996000000000035
2017-06-15,-0.004312700000000003
2017-06-16,-0.004227499999999995
2017-06-17,-0.004143800000000003
2017-06-18,-0.0040619
2017-06-19,-0.004248799999999997
